latitude,longitude,price,year,month,admin1_Awdal,admin1_Bakool,admin1_Banadir,admin1_Bari,admin1_Bay,admin1_Galgaduud,admin1_Gedo,admin1_Hiraan,admin1_Juba Dhexe,admin1_Juba Hoose,admin1_Mudug,admin1_Nugaal,admin1_Sanaag,admin1_Shabelle Dhexe,admin1_Shabelle Hoose,admin1_Sool,admin1_Togdheer,admin1_Woqooyi Galbeed,admin2_Afgooye,admin2_Afmadow,admin2_Balcad,admin2_Banadir,admin2_Baydhaba,admin2_Belet Weyne,admin2_Berbera,admin2_Borama,admin2_Bossaso,admin2_Bu'aale,admin2_Bulo Burto,admin2_Burco,admin2_Ceerigaabo,admin2_Dhuusamarreeb,admin2_Diinsoor,admin2_Doolow,admin2_Eyl,admin2_Gaalkacyo,admin2_Garoowe,admin2_Hargeysa,admin2_Jowhar,admin2_Kismaayo,admin2_Laas Caanood,admin2_Marka,admin2_OTHER,admin2_Qardho,admin2_Qoryooley,admin2_Xudur,market_Afgooye,market_Afmadow,market_Baidoa,market_Bakaara,market_Balcad,market_Beletweyne,market_Berbera,market_Borama,market_Bossaso,market_Buale,market_Buloburto,market_Burco,market_Ceerigaabo,market_Dhuusamarreeb,market_Dinsoor,market_Doolow,market_Eyl,market_Gaalkacyo,market_Garowe,market_Hargeysa,market_Jowhar,market_Karaan,market_Kismayo,market_Laas Caanood,market_Marka (Shabelle Hoose),market_OTHER,market_Qardho,market_Qorioley,market_Wadajir,market_Xudur,category_cereals and tubers,"category_meat, fish and eggs",category_milk and dairy,category_miscellaneous food,category_non-food,category_oil and fats,category_pulses and nuts,category_vegetables and fruits,commodity_Cowpeas,commodity_Exchange rate,commodity_Fuel (Super Petrol),commodity_Fuel (diesel),commodity_Livestock (Goat),commodity_Maize (white),commodity_Meat (camel),commodity_Meat (goat),commodity_Milk (camel),"commodity_Milk (cow, fresh)",commodity_OTHER,"commodity_Oil (vegetable, imported)",commodity_Onions,commodity_Pasta,commodity_Potatoes,commodity_Rice (imported),commodity_Salt,commodity_Sorghum (red),commodity_Sorghum (white),commodity_Sugar (white),commodity_Wheat flour,commodity_Wheat flour (imported),unit_Head,unit_KG,unit_L,unit_USD/LCU,unit_Unit,pricetype_Retail,price_per_lat,price_per_long,log_price
-1.2407383301158286,-0.14338198911974487,700.0,-3.0679024765899454,-1.7243895728714833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4411955663078997,0.09728213381760109,6.55250788703459
-1.2407383301158286,-0.14338198911974487,525.0,-3.0679024765899454,-1.4306852599934825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4411955663078997,0.09728213381760109,6.26530121273771
-1.2407383301158286,-0.14338198911974487,600.0,-3.0679024765899454,-1.1369809471154815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4411955663078997,0.09728213381760109,6.398594934535208
-1.2407383301158286,-0.14338198911974487,900.0,-3.0679024765899454,-0.8432766342374808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4411955663078997,0.09728213381760109,6.803505257608338
-1.2407383301158286,-0.14338198911974487,1025.0,-3.0679024765899454,-0.5495723213594799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4411955663078997,0.09728213381760109,6.933423025730715
-1.2407383301158286,-0.14338198911974487,1100.0,-3.0679024765899454,-0.25586800848147906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4411955663078997,0.09728213381760109,7.00397413672268
-1.2407383301158286,-0.14338198911974487,1400.0,-3.0679024765899454,0.037836304396521754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4411955663078997,0.09728213381760109,7.244941546337007
1.5026515155657154,1.6119087711861986,3000.0,-3.0679024765899454,0.037836304396521754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.4821509254251867,-1.5545950970169493,8.006700845440367
1.5026515155657154,1.6119087711861986,3500.0,-3.0679024765899454,0.037836304396521754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.4821509254251867,-1.5545950970169493,8.160803920954665
1.5026515155657154,1.6119087711861986,3000.0,-3.0679024765899454,0.037836304396521754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.4821509254251867,-1.5545950970169493,8.006700845440367
-0.9223381260751893,-0.9042049581295848,1650.0,-3.0679024765899454,0.037836304396521754,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.05409223618056295,0.9040478483217822,7.409136443920128
-0.9223381260751893,-0.9042049581295848,3200.0,-3.0679024765899454,0.037836304396521754,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.05409223618056295,0.9040478483217822,8.071218539969863
-0.9223381260751893,-0.9042049581295848,850.0,-3.0679024765899454,0.037836304396521754,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.05409223618056295,0.9040478483217822,6.7464121285733745
1.5026515155657154,1.6119087711861986,3000.0,-3.0679024765899454,0.3315406172745226,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.4821509254251867,-1.5545950970169493,8.006700845440367
